Dossier;Adresse;Nature;Relatif à;Etat;EUR;co_co;Dépôt;Recev?;RenvComm;1erAvisCE;DerAvisCE;1erRapp;DerRapp;RappCommPrev;RappComm;Comm1;CommLast;SeanPub1;Vote1;Vote2;DispVote;1erAmdtGvt;DerAmdtGvt;1erAmdtComm;DerAmdtComm;AvisCP;Publication;NbrAut;Auteurs;NbrComm;Comm;NbrPres;Pressentie;NbrRapp;Rapporteur;NbrAjPPGvt;AjAvisCHD;AjAvisCE;AjAmdtGvt;AjAmdtComm;NbrComm2;cmt_commission;cmt_commission_pressentie
7633;https://www.chd.lu/fr/dossier/7633;PPL;".relative à l'interdiction du placement en rétention des personnes mineures et modifiant:¯1. la loi du 18 décembre 2015 relative à l'accueil des demandeurs de protection internationale et de protection temporaire;¯2. la loi modifiée du 29 août du 2008 sur la libre circulation des personnes et l'immigration; et¯3. la loi du 28 mai 2009 portant création et organisation du Centre de rétention";COMM;;X;16.07.20;22.09.20;22.09.20;04.07.23;;;;;;14.07.23;14.07.23;;;;;;;;;;;1;D.Wagner;2;AECGR|AEECA;;;0;;1;;1;;;1;C. Affaires étrangères & européennes Coopération Commerce extérieur & Grande Région|C. Affaires étrangères & européennes Coopération Immigration & Asile;
7634;https://www.chd.lu/fr/dossier/7634;PL;".modifiant la loi du 17 juillet 2020 portant introduction d'une série de mesures de lutte contre la pandémie Covid-19 et modifiant :¯1° la loi modifiée du 25 novembre 1975 concernant la délivrance au public des médicaments ;¯2° la loi modifiée du 11 avril 1983 portant réglementation de la mise sur le marché et de la publicité des médicaments";PUB_JO;;X;20.07.20;;;22.07.20;;21.07.20;;;23.07.20;21.07.20;23.07.20;23.07.20;23.07.20;;24.07.20;;;;;;24.07.20;1;P.Lenert (Min. Santé);0;;1;SASP;1;M.Di Bartolomeo;;1;1;;;2;;C. Santé & Sports
7635;https://www.chd.lu/fr/dossier/7635;PL;.portant introduction d'une série de mesures temporaires en matière de sécurité et santé au travail dans le cadre de la lutte contre le COVID-19;RETIRE;;X;21.07.20;;17.09.20;;;;;;;;;;;;;;;;;;;1;D.Kersch (Min. Travail Emploi & Economie sociale & solidaire);1;TESS;1;=;0;;;3;;;;;C. Travail Emploi & Sécurité sociale;C. Travail Emploi & Sécurité sociale
7636;https://www.chd.lu/fr/dossier/7636;PRGD;.modifiant le règlement grand-ducal du 26 janvier 2016 concernant les instruments de pesage à fonctionnement non automatique;PUB_JO;;X;24.07.20;;17.09.20;;;;;;;24.09.20;24.09.20;;;;;;;;;08.10.20;23.10.20;1;F.Fayot (Min. Économie);1;ECOPC;1;=;0;;;;;;;1;C. Economie Protection consommateurs & Espace;C. Economie Protection consommateurs & Espace
7637;https://www.chd.lu/fr/dossier/7637;PL;".portant modification :¯1° de la loi modifiée du 5 avril 1993 relative au secteur financier ;¯2° de la loi du 6 avril 2013 relative aux titres dématérialisés";PUB_JO;;X;27.07.20;;17.09.20;04.12.20;;05.10.20;;11.01.21;11.01.21;05.10.20;11.01.21;21.01.21;21.01.21;;22.01.21;;;;;;22.01.21;1;P.Gramegna (Min. Finances);1;FI;1;=;1;A.Bauler;;1;1;;;2;C. Finances & Budget;C. Finances & Budget
7638;https://www.chd.lu/fr/dossier/7638;PL;".portant :¯1. transposition : ¯a) de la directive (UE) 2019/878 du Parlement européen et du Conseil du 20 mai 2019 modifiant la directive 2013/36/UE en ce qui concerne les entités exemptées les compagnies financières holding les compagnies financières holding mixtes la rémunération les mesures et pouvoirs de surveillance et les mesures de conservation des fonds propres ; et ¯b) de la directive (UE) 2019/879 du Parlement européen et du Conseil du 20 mai 2019 modifiant la directive 2014/59/UE en ce qui concerne la capacité d'absorption des pertes et de recapitalisation des établissements de crédit et des entreprises d'investissement et la directive 98/26/CE ;¯2. mise en oeuvre du règlement (UE) 2019/876 du Parlement européen et du Conseil du 20 mai 2019 modifiant le règlement (UE) n° 575/2013 en ce qui concerne le ratio de levier le ratio de financement stable net les exigences en matière de fonds propres et d'engagements éligibles le risque de crédit de contrepartie le risque de marché les expositions sur contreparties centrales les expositions sur organismes de placement collectif les grands risques et les exigences de déclaration et de publication et le règlement (UE) n° 648/2012 ; et¯3. modification : ¯a) de la loi modifiée du 5 avril 1993 relative au secteur financier ;¯b) de la loi modifiée du 18 décembre 2015 relative à la défaillance des établissements de crédit et de certaines entreprises d'investissement ;¯c) de la loi modifiée du 24 mars 1989 sur la Banque et Caisse d'Epargne de l'Etat Luxembourg ;¯d) de la loi modifiée du 23 décembre 1998 portant création d'une commission de surveillance du secteur financier ;¯e) de la loi modifiée du 12 novembre 2004 relative à la lutte contre le blanchiment et contre le financement du terrorisme ;¯f) de la loi modifiée du 10 novembre 2009 relative aux services de paiement à l'activité d'établissement de monnaie électronique et au caractère définitif du règlement dans les systèmes de paiement et les systèmes de règlement des opérations sur titres ; et ¯g) de la loi modifiée du 7 décembre 2015 sur le secteur des assurances";PUB_JO;;X;27.07.20;;17.09.20;08.12.20;23.03.21;05.10.20;;02.04.21;02.04.21;05.10.20;02.04.21;27.04.21;27.04.21;;17.05.21;18.02.21;;;;;21.05.21;1;P.Gramegna (Min. Finances);1;FI;1;=;1;G.Arendt;;2;2;1;;2;C. Finances & Budget;C. Finances & Budget
7639;https://www.chd.lu/fr/dossier/7639;PL;.modifiant la loi du 23 décembre 2016 concernant la collecte la saisie et le contrôle des dossiers d'aides relatives au logement;PUB_JO;;X;27.07.20;;17.09.20;21.12.20;23.02.21;14.01.21;;25.02.21;25.02.21;14.01.21;25.02.21;11.03.21;11.03.21;;15.03.21;;;18.01.21;;;26.03.21;1;H.Kox (Min. Logement);1;LOG;1;=;1;S.Ahmedova;;3;2;;1;2;C. Logement;C. Logement
7640;https://www.chd.lu/fr/dossier/7640;PL;.portant modification de la loi du 17 avril 2018 concernant l'aménagement du territoire;PUB_JO;;X;28.07.20;;17.09.20;17.11.20;21.12.20;30.11.20;;11.01.21;11.01.21;27.11.20;11.01.21;20.01.21;20.01.21;;22.01.21;;;03.12.20;;;04.02.21;1;C.Turmes (Min. Aménagement Territoire);1;ECEAT;1;=;1;S.Ahmedova;;2;2;;1;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7641;https://www.chd.lu/fr/dossier/7641;PL;.portant modification de la loi modifiée du 22 octobre 2008 portant promotion de l'habitat et création d'un pacte logement avec les communes;RETIRE;;X;30.07.20;;17.09.20;13.10.20;;;;25.02.21;25.02.21;11.02.21;25.02.21;;;;;;;;;;;1;H.Kox (Min. Logement);2;LOG|AIEFH;1;LOG;0;;;2;1;;;2;C. Logement|C. Affaires intérieures & Egalité entre les femmes & les hommes;C. Logement
7642;https://www.chd.lu/fr/dossier/7642;PL;.portant modification de la loi modifiée du 21 septembre 2006 sur le bail à usage d'habitation et modifiant certaines dispositions du Code civil¯Rapporteur : Monsieur Gilles Baum;PUB_JO;;X;31.07.20;;17.09.20;11.05.21;25.06.24;28.06.24;;;04.07.24;03.12.20;04.07.24;10.07.24;10.07.24;;12.07.24;14.10.22;19.04.24;;;;25.07.24;1;H.Kox (Min. Logement);2;LAT|LOG;1;LOG;1;G.Baum;;12;3;3;;2;C. Logement & Aménagement territoire|C. Logement;C. Logement
7643;https://www.chd.lu/fr/dossier/7643;PL;.sur les données ouvertes et la réutilisation des informations du secteur public;PUB_JO;;X;31.07.20;;17.09.20;01.06.21;12.10.21;18.06.21;;26.10.21;27.10.21;15.09.20;26.10.21;11.11.21;11.11.21;;16.11.21;;;18.06.21;;;03.12.21;1;X.Bettel (Min. Communications & Médias);1;DMCE;1;=;1;G.Arendt;;3;2;;1;2;C. Digitalisation Médias & Communications;C. Digitalisation Médias & Communications
7644;https://www.chd.lu/fr/dossier/7644;PL;".portant modification :¯1° de la loi modifiée du 16 avril 1979 fixant le statut général des fonctionnaires de l'Etat ;¯2° de la loi modifiée du 25 mars 2015 fixant le régime des traitements et les conditions et modalités d'avancement des fonctionnaires ;¯3° de la loi modifiée du 18 juillet 2018 sur la Police grand-ducale";COMM;;X;31.07.20;;17.09.20;26.10.21;26.11.24;;;;;16.09.20;27.02.25;;;;;29.07.24;;03.03.25;;;;1;M.Hansen (Min. Fonction publique);1;FNP;1;=;0;;;3;2;1;1;2;C. Fonction publique;C. Fonction publique
7645;https://www.chd.lu/fr/dossier/7645;PL;.modifiant la loi modifiée du 17 juillet 2020 sur les mesures de lutte contre la pandémie Covid-19;PUB_JO;;X;03.08.20;;17.09.20;28.08.20;22.09.20;01.09.20;;18.09.20;21.09.20;01.09.20;21.09.20;22.09.20;22.09.20;;23.09.20;03.09.20;17.09.20;15.09.20;;;23.09.20;1;P.Lenert (Min. Santé);1;SASP;1;=;1;M.Di Bartolomeo;;3;4;2;1;2;C. Santé & Sports;C. Santé & Sports
7646;https://www.chd.lu/fr/dossier/7646;PL;.sur les relations entre entreprises au sein de la chaîne d'approvisionnement agricole et alimentaire;PUB_JO;OUI;X;07.08.20;;17.09.20;19.01.21;27.04.21;04.02.21;04.02.21;14.05.21;14.05.21;04.02.21;14.05.21;20.05.21;20.05.21;;01.06.21;;;15.03.21;;;01.06.21;1;F.Fayot (Min. Économie);1;ECOPC;1;=;1;T.Burton;;4;2;;1;2;C. Economie Protection consommateurs & Espace;C. Economie Protection consommateurs & Espace
7647;https://www.chd.lu/fr/dossier/7647;PL;.portant modification de la loi du 17 mars 1977 concernant l'heure légale;PUB_JO;;X;07.08.20;;17.09.20;19.01.21;;04.02.21;04.02.21;11.02.21;12.02.21;04.02.21;11.02.21;11.03.21;11.03.21;;15.03.21;;;;;;18.03.21;1;F.Fayot (Min. Économie);1;ECOPC;1;=;1;L.Mutsch;;1;1;;;2;C. Economie Protection consommateurs & Espace;C. Economie Protection consommateurs & Espace
7648;https://www.chd.lu/fr/dossier/7648;PL;.relative au Pacte logement avec les communes en vue d'augmenter l'offre de logements abordables et durables et modifiant¯a. la loi modifiée du 19 juillet 2004 concernant l'aménagement communal et le développement urbain¯b. la loi modifiée du 22 octobre 2008 portant promotion de l'habitat et création d'un pacte logement avec les communes¯c. la loi du 17 avril 2018 concernant l'aménagement du territoire¯d. la loi du 25 mars 2020 portant création du Fonds spécial de soutien au développement du logement;PUB_JO;;X;07.08.20;;17.09.20;04.03.21;06.07.21;29.03.21;;08.07.21;08.07.21;11.03.21;08.07.21;14.07.21;14.07.21;;16.07.21;07.04.21;;13.04.21;10.06.21;;18.08.21;1;H.Kox (Min. Logement);2;LOG|AIEFH;1;LOG;1;S.Ahmedova;;6;3;1;2;2;C. Logement|C. Affaires intérieures & Egalité entre les femmes & les hommes;C. Logement
7649;https://www.chd.lu/fr/dossier/7649;PL;".portant modification :¯1° de la loi modifiée du 1er août 2007 relative à l'organisation du marché de l'électricité ;¯2° de la loi modifiée du 1er août 2007 relative à l'organisation du marché du gaz naturel";PUB_JO;;X;13.08.20;;17.09.20;21.12.20;;08.03.21;;31.03.21;01.04.21;08.03.21;31.03.21;28.04.21;28.04.21;;17.05.21;;;;;;04.06.21;1;C.Turmes (Min. Energie);1;ECEAT;1;=;1;C.Back;;2;1;;;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7650;https://www.chd.lu/fr/dossier/7650;PL;".portant modification :¯1. du Code de la consommation ;¯2. de la loi modifiée du 11 avril 1983 portant réglementation de la mise sur le marché et de la publicité des spécialités pharmaceutiques et des médicaments préfabriqués ;¯3. de la loi modifiée du 27 juillet 1991 sur les médias électroniques ;¯4. de la loi modifiée du 27 juillet 1997 sur le contrat d'assurance ; 5. de la loi modifiée du 14 août 2000 relative au commerce électronique ;¯6. de la loi modifiée du 24 mai 2011 relative aux services dans le marché intérieur ;¯7. de la loi modifiée du 23 décembre 2016 sur les ventes en soldes et sur trottoir et la publicité trompeuse et comparative ; ¯8. de la loi du 26 juin 2019 relative à certaines modalités d'application et à la sanction du règlement (UE) 2018/302 du Parlement européen et du Conseil du 28 février 2018 visant à contrer le blocage géographique injustifié et d'autres formes de discrimination fondée sur la nationalité le lieu de résidence ou le lieu d'établissement des clients dans le marché intérieur et modifiant les règlements (CE) n°2006/2004 et (UE) 2017/2394 et la directive 2009/22/CE en vue de la transposition de la directive (UE) 2020/1828 du Parlement européen et du Conseil du 25 novembre 2020 relative aux actions représentatives visant à protéger les intérêts collectifs des consommateurs et abrogeant la directive 2009/22/CE";COMM;;X;14.08.20;;17.09.20;20.06.23;20.12.24;01.10.20;23.02.24;;;01.10.20;27.03.25;;;;;26.01.22;08.04.24;;;;;1;P.Lenert (Min. Protection consommateurs);2;AAVI|ECOPC;1;ECOPC;1;S.Weydert;;8;2;3;;2;C. Agriculture Alimentation & Viticulture|C. Economie Protection consommateurs & Espace;C. Economie Protection consommateurs & Espace
7651;https://www.chd.lu/fr/dossier/7651;PL;.portant modification de la loi modifiée du 27 juillet 1991 sur les médias électroniques;PUB_JO;OUI;X;19.08.20;;17.09.20;20.11.20;26.01.21;11.12.20;;05.02.21;08.02.21;15.09.20;05.02.21;10.02.21;10.02.21;;22.02.21;;;24.12.20;;;08.03.21;1;X.Bettel (Min. Communications & Médias);1;DMCE;1;=;1;G.Arendt;;2;2;;1;2;C. Digitalisation Médias & Communications;C. Digitalisation Médias & Communications
7652;https://www.chd.lu/fr/dossier/7652;PL;".modifiant ¯1° la loi modifiée du 25 juillet 2015 portant création du système de contrôle et de sanction automatisés ; ¯2° la loi modifiée du 14 février 1955 concernant la réglementation de la circulation sur toutes les voies publiques";PUB_JO;;X;20.08.20;;17.09.20;21.12.20;02.02.21;04.02.21;;04.02.21;05.02.21;21.01.21;04.02.21;11.02.21;11.02.21;;22.02.21;;;22.01.21;;;22.04.21;1;F.Bausch (Min. Mobilité & Travaux publics);1;MOBTP;1;=;1;C.Back;;1;2;;1;2;C. Mobilité & Travaux publics;C. Mobilité & Travaux publics
7653;https://www.chd.lu/fr/dossier/7653;PL;.portant création d'un pacte climat 2.0 avec les communes et portant modification de la loi modifiée du 15 décembre 2020 relative au climat;PUB_JO;;X;25.08.20;;17.09.20;04.03.21;11.05.21;17.09.20;;31.05.21;01.06.21;17.09.20;31.05.21;09.06.21;09.06.21;;15.06.21;;;16.03.21;;;30.06.21;1;C.Dieschbourg (Min. Environnement Climat & Développement durable);1;ECEAT;1;=;1;C.Back;;2;2;;1;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7654;https://www.chd.lu/fr/dossier/7654;PL;.modifiant la loi du 21 mars 2017 relative aux emballages et aux déchets d'emballages;PUB_JO;OUI;X;25.08.20;;17.09.20;22.06.21;01.04.22;25.09.20;;22.04.22;22.04.22;24.09.20;22.04.22;27.04.22;27.04.22;;10.05.22;;;06.10.21;09.02.22;;10.06.22;1;C.Dieschbourg (Min. Environnement Climat & Développement durable);1;ECEAT;1;=;1;F.Benoy;;6;3;;2;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7655;https://www.chd.lu/fr/dossier/7655;PL;.portant création d'un pacte nature avec les communes et modifiant la loi modifiée du 31 mai 1999 portant institution d'un fonds pour la protection de l'environnement;PUB_JO;;X;25.08.20;;17.09.20;04.03.21;29.06.21;17.09.20;;;07.07.21;17.09.20;06.07.21;14.07.21;14.07.21;;16.07.21;;;01.04.21;08.06.21;;06.08.21;1;C.Dieschbourg (Min. Environnement Climat & Développement durable);1;ECEAT;1;=;1;F.Benoy;;4;3;;2;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7656;https://www.chd.lu/fr/dossier/7656;PL;.relative à la réduction de l'incidence de certains produits en plastique sur l'environnement;PUB_JO;OUI;X;25.08.20;;17.09.20;22.06.21;01.04.22;25.09.20;;22.04.22;22.04.22;24.09.20;22.04.22;27.04.22;27.04.22;;10.05.22;;;23.09.21;09.02.22;;10.06.22;1;C.Dieschbourg (Min. Environnement Climat & Développement durable);1;ECEAT;1;=;1;F.Benoy;;6;3;;2;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7657;https://www.chd.lu/fr/dossier/7657;PL;.relatif à la construction du Nordstad-Lycée à Erpeldange-sur-Sûre;PUB_JO;;X;28.08.20;;28.08.20;17.11.20;;10.12.20;;;15.01.21;10.12.20;14.01.21;19.01.21;19.01.21;;22.01.21;;;;;;24.02.21;1;F.Bausch (Min. Mobilité & Travaux publics);1;MOBTP;;;1;C.Gary;;;1;;;2;C. Mobilité & Travaux publics;
7658;https://www.chd.lu/fr/dossier/7658;PL;".portant modification ¯1° de la loi modifiée du 7 octobre 1993 ayant pour objet a) la création d'un Service de Coordination de la Recherche et de l'Innovation pédagogiques et technologiques ; b) la création d'un Centre de Gestion Informatique de l'Education ; c) l'institution d'un Conseil scientifique ;¯2° de la loi modifiée du 6 février 2009 concernant le personnel de l'enseignement fondamental ; ¯3° de la loi modifiée du 6 février 2009 portant organisation de l'enseignement fondamental ;¯4° de la loi modifiée du 30 juillet 2015 portant création d'un Institut de formation de l'Education nationale";PUB_JO;;X;31.08.20;;17.09.20;02.11.20;06.07.21;30.10.20;;;12.07.21;30.10.20;12.07.21;15.07.21;15.07.21;;16.07.21;31.05.21;;02.11.20;24.06.21;;13.08.21;1;C.Meisch (Min. Education nationale Enfance & Jeunesse);1;ENEJER;1;=;1;C.Lamberty;;2;4;1;2;2;C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche;C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche
7659;https://www.chd.lu/fr/dossier/7659;PL;".modifiant : ¯1° la loi modifiée du 21 mars 2012 relative aux déchets ; ¯2° la loi modifiée du 31 mai 1999 portant institution d'un fonds pour la protection de l'environnement";PUB_JO;OUI;X;01.09.20;;17.09.20;22.06.21;01.04.22;25.09.20;;22.04.22;22.04.22;24.09.20;22.04.22;27.04.22;27.04.22;;10.05.22;;;23.09.21;09.02.22;;10.06.22;1;C.Dieschbourg (Min. Environnement Climat & Développement durable);1;ECEAT;1;=;1;F.Benoy;;8;3;;2;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7660;https://www.chd.lu/fr/dossier/7660;PL;".portant modification : 1° de la loi modifiée du 24 juin 2020 portant introduction de mesures temporaires relatives à la loi communale modifiée du 13 décembre 1988 et à la loi modifiée du 27 mars 2018 portant organisation de la sécurité civile dans le cadre de la lutte contre le Covid-19 ; 2° de la loi modifiée du 24 juin 2020 portant introduction d'une mesure temporaire relative à l'application de l'article 12 de la loi modifiée du 19 juillet 2004 concernant l'aménagement communal et le développement urbain dans le cadre de la lutte contre le Covid-19";PUB_JO;;X;07.09.20;;17.09.20;14.09.20;;;;18.09.20;18.09.20;18.09.20;18.09.20;22.09.20;22.09.20;;23.09.20;;;;;;23.09.20;1;T.Bofferding (Min. Intérieur);1;AIEFH;1;=;0;;;;1;;;1;C. Affaires intérieures & Egalité entre les femmes & les hommes;C. Affaires intérieures & Egalité entre les femmes & les hommes
7661;https://www.chd.lu/fr/dossier/7661;PL;.portant introduction d'une prime unique pour la promotion de l'apprentissage dans le domaine de la formation professionnelle;PUB_JO;;X;07.09.20;;17.09.20;17.11.20;;26.11.20;;;02.12.20;26.11.20;02.12.20;08.12.20;08.12.20;;16.12.20;;;;;;16.12.20;1;C.Meisch (Min. Education nationale Enfance & Jeunesse);1;ENEJER;1;=;1;C.Lamberty;;3;1;;;2;C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche;C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche
7662;https://www.chd.lu/fr/dossier/7662;PL;".du *** portant modification de :¯1° la loi modifiée du 25 juin 2004 portant organisation des lycées ;¯2° la loi modifiée du 29 juin 2005 fixant les cadres du personnel des établissements d'enseignement secondaire";RETIRE;;X;07.09.20;;17.09.20;27.10.20;;30.10.20;;;09.11.20;30.10.20;09.11.20;18.11.20;;;;;;;;;;1;C.Meisch (Min. Education nationale Enfance & Jeunesse);2;ENEJ|ENEJER;1;ENEJER;1;C.Lamberty;;1;1;;;2;C. Éducation nationale Enfance & Jeunesse|C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche;C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche
7663;https://www.chd.lu/fr/dossier/7663;DO;.sur le financement des grands projets d'infrastructure réalisés par l'Etat;.;;X;09.09.20;;09.09.20;;;12.10.20;;;;24.09.20;22.10.20;18.11.20;;;;;;;;;;1;MOBTP;1;MOBTP;;;1;C.Gary;;;;;;2;C. Mobilité & Travaux publics;
7664;https://www.chd.lu/fr/dossier/7664;PL;.portant modification de la loi modifiée du 23 juillet 1952 concernant l'organisation militaire;PUB_JO;;X;10.09.20;;17.09.20;11.12.20;;04.02.21;;09.02.21;09.02.21;04.02.21;09.02.21;19.02.21;19.02.21;;15.03.21;;;;;;26.03.21;1;F.Bausch (Min. Défense);1;SID;1;=;1;S.Empain;;1;1;;;2;C. Sécurité intérieure & Défense;C. Sécurité intérieure & Défense
7665;https://www.chd.lu/fr/dossier/7665;PL;".modifiant :¯1° la loi modifiée du 10 août 1991 sur la profession d'avocat ;¯2° la loi modifiée du 13 novembre 2002 portant transposition en droit luxembourgeois de la Directive 98/5/CE du Parlement européen et du Conseil du 16 février 1998 visant à faciliter l'exercice permanent de la profession d'avocat dans un Etat membre autre que celui où la qualification a été acquise et portant:¯1. modification de la loi modifiée du 10 août 1991 sur la profession d'avocat;¯2. modification de la loi du 31 mai 1999 régissant la domiciliation des sociétés.¯3° la loi modifiée du 9 décembre 1976 relative à l'organisation du notariat.";PUB_JO;;X;11.09.20;;17.09.20;20.11.20;15.06.21;21.04.21;;07.07.21;07.07.21;21.04.21;07.07.21;14.07.21;14.07.21;;16.07.21;;;30.04.21;;;18.08.21;1;S.Tanson (Min. Justice);1;J;1;=;1;C.Margue;;;2;;1;2;C. Justice;C. Justice
7668;https://www.chd.lu/fr/dossier/7668;PRGD;.concernant la performance énergétique des bâtiments modifiant le règlement grand-ducal modifié du 31 août 2010 concernant la performance énergétique des bâtiments fonctionnels;PUB_JO;;X;14.09.20;;17.09.20;19.12.20;;;;;;26.02.21;03.06.21;;;;;;;;;03.06.21;09.06.21;1;C.Turmes (Min. Energie);1;ECEAT;1;=;0;;1;2;1;;;2;C. Environnement Climat Energie & Aménagement territoire;C. Environnement Climat Energie & Aménagement territoire
7669;https://www.chd.lu/fr/dossier/7669;PL;.portant modification de la loi modifiée du 24 juin 2020 concernant la célébration du mariage dans un édifice communal autre que la maison communale dans le cadre de la lutte contre la pandémie Covid-19;PUB_JO;;X;14.09.20;;17.09.20;18.09.20;;16.09.20;;21.09.20;21.09.20;16.09.20;21.09.20;22.09.20;22.09.20;;23.09.20;;;;;;23.09.20;1;S.Tanson (Min. Justice);1;J;1;=;1;F.Benoy;;;1;;;2;C. Justice;C. Justice
7670;https://www.chd.lu/fr/dossier/7670;PL;".modifiant :¯1° la loi modifiée du 23 juillet 2016 portant création d'un Haut-Commissariat à la Protection nationale ; ¯2° la loi modifiée du 9 décembre 2005 déterminant les conditions et modalités de nomination de certains fonctionnaires occupant des fonctions dirigeantes dans les administrations et services de l'État ;¯3° la loi modifiée du 27 février 2011 sur les réseaux et les services de communications électroniques ;¯4° la loi modifiée du 25 mars 2015 fixant le régime des traitements et les conditions et modalités d'avancement des fonctionnaires de l'État ;¯5° la loi modifiée du 8 avril 2018 sur les marchés publics";PUB_JO;;X;15.09.20;;17.09.20;09.03.21;26.10.21;18.03.22;;02.05.22;02.05.22;18.03.22;02.05.22;17.05.22;17.05.22;;31.05.22;23.09.21;;;;;29.06.22;1;X.Bettel;1;IR;1;=;1;C.Hemmen;;2;2;1;;2;C. Institutions & Révision constitutionnelle;C. Institutions & Révision constitutionnelle
7671;https://www.chd.lu/fr/dossier/7671;PL;.portant modification de la deuxième partie livre III titre Ier du Nouveau Code de procédure civile en vue de la réforme de l'arbitrage;PUB_JO;;X;15.09.20;;17.09.20;10.05.22;28.02.23;24.11.22;;15.03.23;15.03.23;23.11.22;15.03.23;23.03.23;23.03.23;;24.03.23;;;25.11.22;;;21.04.23;1;S.Tanson (Min. Justice);1;J;1;=;1;C.Margue;;2;2;;1;2;C. Justice;C. Justice
7672;https://www.chd.lu/fr/dossier/7672;PL;.relative à l'agrément d'un système de qualité ou de certification des produits agricoles;PUB_JO;;X;17.09.20;;08.10.20;27.04.21;11.03.22;18.09.20;;24.03.22;25.03.22;18.09.20;24.03.22;31.03.22;03.05.22;;10.05.22;;;22.07.21;26.11.21;;04.07.22;1;R.Schneider (Min. Agriculture Viticulture & Développement rural);1;AVDR;1;=;1;T.Burton;;6;3;;2;2;C. Agriculture Viticulture & Développement rural;C. Agriculture Viticulture & Développement rural
7673;https://www.chd.lu/fr/dossier/7673;PL;.portant des mesures concernant la tenue de réunions dans les sociétés et dans les autres personnes morales et abrogeant la loi du 20 juin 2020 portant prorogation des mesures concernant la tenue de réunions dans les sociétés et dans les autres personnes morales;PUB_JO;;X;21.09.20;;17.09.20;;;;;;21.09.20;21.09.20;21.09.20;;22.09.20;;23.09.20;;;;;;23.09.20;1;S.Tanson (Min. Justice);1;J;;;0;;;1;;;;1;C. Justice;
7674;https://www.chd.lu/fr/dossier/7674;PL;.portant organisation de l'accès à la connaissance de ses origines dans le cadre d'une adoption ou d'une procréation médicalement assistée avec tiers donneurs;COMM;;X;21.09.20;;08.10.20;16.07.21;;08.10.20;;;;07.10.20;05.05.21;;;;;06.05.21;12.05.23;;;;;1;S.Tanson (Min. Justice);1;J;1;=;1;C.Margue;;;1;2;;2;C. Justice;C. Justice
7675;https://www.chd.lu/fr/dossier/7675;PL;.autorisant la participation financière de l'État au programme stratégique d'infrastructure de l'Agence OTAN de soutien et d'acquisition (NATO Support and Procurement Agency - NSPA) ainsi qu'à l'infrastructure « Outside Cabling Plant 2 » (OCP2) à Capellen;PUB_JO;;X;22.09.20;;08.10.20;01.12.20;;04.02.21;;09.02.21;09.02.21;28.01.21;09.02.21;19.02.21;19.02.21;;15.03.21;;;;;;26.03.21;1;F.Bausch (Min. Défense);1;SID;1;=;1;S.Ahmedova;;;1;;;2;C. Sécurité intérieure & Défense;C. Sécurité intérieure & Défense
7676;https://www.chd.lu/fr/dossier/7676;PL;.portant règlement du compte général de l'exercice 2019;PUB_JO;;X;29.09.20;;08.10.20;27.10.20;;30.11.20;;07.12.20;14.12.20;12.10.20;14.12.20;17.12.20;17.12.20;;21.12.20;;;;;;23.12.20;1;P.Gramegna (Min. Finances);1;CEB;1;=;1;D.Adehm;;;1;;;2;C. Contrôle exécution budgétaire;C. Contrôle exécution budgétaire
7677;https://www.chd.lu/fr/dossier/7677;PL;.portant organisation des contrôles du transport de l'argent liquide entrant au ou sortant du Grand-Duché de Luxembourg et mise en oeuvre du règlement (UE) 2018/1672 du Parlement européen et du Conseil du 23 octobre 2018 relatif aux contrôles de l'argent liquide entrant dans l'Union ou sortant de l'Union et abrogeant le règlement (CE) n° 1889/2005;PUB_JO;OUI;X;12.10.20;;16.10.20;11.05.21;15.06.21;20.11.20;;21.06.21;21.06.21;20.11.20;21.06.21;30.06.21;30.06.21;;06.07.21;;;07.06.21;;;23.07.21;1;P.Gramegna (Min. Finances);1;FI;1;=;1;G.Arendt;;3;2;;1;2;C. Finances & Budget;C. Finances & Budget
