Dossier;Adresse;Nature;Relatif à;Etat;EUR;co_co;Dépôt;Recev?;RenvComm;1erAvisCE;DerAvisCE;1erRapp;DerRapp;RappCommPrev;RappComm;Comm1;CommLast;SeanPub1;Vote1;Vote2;DispVote;1erAmdtGvt;DerAmdtGvt;1erAmdtComm;DerAmdtComm;AvisCP;Publication;NbrAut;Auteurs;NbrComm;Comm;NbrPres;Pressentie;NbrRapp;Rapporteur;NbrAjPPGvt;AjAvisCHD;AjAvisCE;AjAmdtGvt;AjAmdtComm;NbrComm2;cmt_commission;cmt_commission_pressentie
7398;https://www.chd.lu/fr/dossier/7398;PL;.portant modification de la loi du 26 décembre 2012 sur les services postaux;PUB_JO;;X;29.01.19;;07.02.19;12.06.19;;27.06.19;;02.07.19;02.07.19;26.06.19;02.07.19;09.07.19;10.07.19;;17.07.19;;;;;;06.08.19;1;X.Bettel (Min. Communications & Médias);1;DMCE;1;=;1;G.Arendt;;3;1;;;2;C. Digitalisation Médias & Communications;C. Digitalisation Médias & Communications
7399;https://www.chd.lu/fr/dossier/7399;PL;.portant modification:¯1. des articles L. 232-2 et L. 233-4 du Code du travail¯2. de l'article 28-1 de la loi modifiée du 16 avril 1979 fixant le statut général des fonctionnaires de l'Etat;PUB_JO;;X;29.01.19;;07.02.19;13.03.19;;31.01.19;;;21.03.19;19.03.19;21.03.19;27.03.19;27.03.19;;10.04.19;;;;;;26.04.19;1;D.Kersch (Min. Travail Emploi & Economie sociale & solidaire);1;TESS;1;=;1;G.Engel;;3;1;;;2;C. Travail Emploi & Sécurité sociale;C. Travail Emploi & Sécurité sociale
7401;https://www.chd.lu/fr/dossier/7401;PL;".relative à des mesures à prendre en relation avec le secteur financier en cas de retrait du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord de l'Union européenne et modifiant :¯1° la loi modifiée du 5 avril 1993 relative au secteur financier ;¯2° la loi modifiée du 10 novembre 2009 relative aux services de paiement ;¯3° la loi modifiée du 17 décembre 2010 concernant les organismes de placement collectif ; ¯4° la loi modifiée du 12 juillet 2013 relative aux gestionnaires de fonds d'investissement alternatifs ; ¯5° la loi modifiée du 7 décembre 2015 sur le secteur des assurances ; et ¯6° la loi modifiée du 18 décembre 2015 relative à la défaillance des établissements de crédit et de certaines entreprises d'investissement";PUB_JO;;X;31.01.19;;07.02.19;05.03.19;;15.03.19;;18.03.19;18.03.19;15.03.19;18.03.19;26.03.19;26.03.19;;10.04.19;;;;;;11.04.19;1;P.Gramegna (Min. Finances);1;FI;1;=;1;A.Bauler;;1;1;;;2;C. Finances & Budget;C. Finances & Budget
7402;https://www.chd.lu/fr/dossier/7402;PL;.portant transposition de la directive (UE) 2017/828 du Parlement européen et du Conseil du 17 mai 2017 modifiant la directive 2007/36/CE en vue de promouvoir l'engagement à long terme des actionnaires;PUB_JO;OUI;X;04.02.19;;07.03.19;12.06.19;;03.07.19;;;09.07.19;06.03.19;09.07.19;10.07.19;10.07.19;;17.07.19;;;;;;20.08.19;1;F.Braz (Min. Justice);1;J;1;=;1;F.Fayot;;2;1;;;2;C. Justice;C. Justice
7403;https://www.chd.lu/fr/dossier/7403;PL;"Projet de loi¯portant création de l'Office national de l'accueil (ONA) et portant modification de :¯1° la loi modifiée du 21 septembre 2006 sur le bail à usage d'habitation et modifiant certaines dispositions du Code civil ;¯2° la loi modifiée du 16 décembre 2008 concernant l'intégration des étrangers au Grand-Duché de Luxembourg ;¯3° la loi modifiée du 18 décembre 2015 relative à l'accueil des demandeurs de protection internationale et de protection temporaire";PUB_JO;;X;05.02.19;;07.03.19;29.04.19;10.10.19;05.06.19;;16.10.19;17.10.19;05.06.19;16.10.19;23.10.19;23.10.19;;15.11.19;;;17.06.19;;;28.12.19;1;C.Cahen (Min. Famille & Intégration);1;FAIN;1;=;1;M.Hahn;;3;2;;1;2;C. Famille & Intégration;C. Famille & Intégration
7404;https://www.chd.lu/fr/dossier/7404;PRREG;.relative à la présence d'un collaborateur du rapporteur lors de réunions de commission;PUB_JO;;X;07.02.19;;07.02.19;;;15.03.19;;;28.03.19;12.03.19;25.03.19;25.04.19;08.05.19;;;;;;;;24.05.19;3;J.Lorsché|E.Berger|A.Bodry;1;REGL;;;1;R.Reding;;;;;;2;C. Règlement;
7405;https://www.chd.lu/fr/dossier/7405;PRREG;.relative à la composition du Bureau et à la déclaration de politique générale sur l'état de la nation;PUB_JO;;X;07.02.19;;07.02.19;;;15.03.19;;;25.03.19;12.03.19;25.03.19;25.04.19;08.05.19;;;;;;;;24.05.19;5;M.Hansen|G.Gibéryen|E.Berger|A.Bodry|J.Lorsché;1;REGL;;;1;R.Reding;;;;;;2;C. Règlement;
7406;https://www.chd.lu/fr/dossier/7406;PL;".déterminant : 1) les modalités de maintien au service de l'Etat et des communes des agents de nationalité britannique dans le cadre du retrait du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord de l'Union européenne ; 2) l'accès au service de l'Etat et des communes des ressortissants britanniques tombant dans le champ d'application de l'accord de retrait du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord de l'Union européenne";PUB_JO;;X;08.02.19;;07.03.19;05.03.19;;14.03.19;;20.03.19;21.03.19;13.03.19;20.03.19;26.03.19;26.03.19;;10.04.19;;;;;;11.04.19;1;M.Hansen (Min. Fonction publique);1;FNP;1;=;1;G.Graas;;1;1;;;2;C. Fonction publique;C. Fonction publique
7407;https://www.chd.lu/fr/dossier/7407;PPL;.modifiant le Code pénal aux fins de sanctionner le comportement voyeuriste;PUB_JO;;X;12.02.19;12.03.19;12.03.19;29.01.20;26.01.21;29.04.20;;10.02.21;10.02.21;04.03.20;10.02.21;09.03.21;09.03.21;;15.03.21;;;30.04.20;;;26.04.21;1;G.Roth;1;J;;;1;G.Roth;;1;2;;1;2;C. Justice;
7408;https://www.chd.lu/fr/dossier/7408;PL;.relatif à l'Office du Ducroire Luxembourg;PUB_JO;;X;13.02.19;;07.03.19;26.06.19;23.10.19;24.05.19;;11.11.19;11.11.19;24.05.19;11.11.19;20.11.19;20.11.19;;29.11.19;;;08.07.19;;;13.12.19;1;P.Gramegna (Min. Finances);1;FI;1;=;1;G.Arendt;;5;2;;1;2;C. Finances & Budget;C. Finances & Budget
